,rewards,method
92,-200.0,3 step SARSA
93,-200.0,3 step SARSA
94,-200.0,3 step SARSA
95,-200.0,3 step SARSA
96,-200.0,3 step SARSA
97,-200.0,3 step SARSA
98,-200.0,3 step SARSA
99,-200.0,3 step SARSA
100,-200.0,3 step SARSA
101,-200.0,3 step SARSA
102,-200.0,3 step SARSA
103,-200.0,3 step SARSA
104,-200.0,3 step SARSA
105,-200.0,3 step SARSA
106,-200.0,3 step SARSA
107,-200.0,3 step SARSA
108,-200.0,3 step SARSA
109,-200.0,3 step SARSA
110,-200.0,3 step SARSA
111,-200.0,3 step SARSA
112,-200.0,3 step SARSA
113,-200.0,3 step SARSA
114,-200.0,3 step SARSA
115,-200.0,3 step SARSA
116,-200.0,3 step SARSA
117,-200.0,3 step SARSA
118,-200.0,3 step SARSA
119,-200.0,3 step SARSA
120,-200.0,3 step SARSA
121,-200.0,3 step SARSA
122,-200.0,3 step SARSA
123,-200.0,3 step SARSA
124,-200.0,3 step SARSA
125,-200.0,3 step SARSA
126,-200.0,3 step SARSA
127,-200.0,3 step SARSA
128,-200.0,3 step SARSA
129,-200.0,3 step SARSA
130,-200.0,3 step SARSA
131,-200.0,3 step SARSA
132,-200.0,3 step SARSA
133,-200.0,3 step SARSA
134,-200.0,3 step SARSA
135,-200.0,3 step SARSA
136,-200.0,3 step SARSA
137,-200.0,3 step SARSA
138,-200.0,3 step SARSA
139,-200.0,3 step SARSA
140,-200.0,3 step SARSA
141,-200.0,3 step SARSA
142,-200.0,3 step SARSA
143,-200.0,3 step SARSA
144,-200.0,3 step SARSA
145,-200.0,3 step SARSA
146,-200.0,3 step SARSA
147,-200.0,3 step SARSA
148,-200.0,3 step SARSA
149,-200.0,3 step SARSA
150,-200.0,3 step SARSA
151,-200.0,3 step SARSA
152,-200.0,3 step SARSA
153,-200.0,3 step SARSA
154,-200.0,3 step SARSA
155,-200.0,3 step SARSA
156,-200.0,3 step SARSA
157,-200.0,3 step SARSA
158,-200.0,3 step SARSA
159,-200.0,3 step SARSA
160,-200.0,3 step SARSA
161,-200.0,3 step SARSA
162,-200.0,3 step SARSA
163,-200.0,3 step SARSA
164,-200.0,3 step SARSA
165,-200.0,3 step SARSA
166,-200.0,3 step SARSA
167,-200.0,3 step SARSA
168,-200.0,3 step SARSA
169,-200.0,3 step SARSA
170,-200.0,3 step SARSA
171,-200.0,3 step SARSA
172,-200.0,3 step SARSA
173,-200.0,3 step SARSA
174,-200.0,3 step SARSA
175,-200.0,3 step SARSA
176,-200.0,3 step SARSA
177,-200.0,3 step SARSA
178,-200.0,3 step SARSA
179,-200.0,3 step SARSA
180,-200.0,3 step SARSA
181,-200.0,3 step SARSA
182,-200.0,3 step SARSA
183,-200.0,3 step SARSA
184,-200.0,3 step SARSA
185,-200.0,3 step SARSA
186,-200.0,3 step SARSA
187,-200.0,3 step SARSA
188,-200.0,3 step SARSA
189,-200.0,3 step SARSA
190,-200.0,3 step SARSA
191,-200.0,3 step SARSA
192,-200.0,3 step SARSA
193,-200.0,3 step SARSA
194,-200.0,3 step SARSA
195,-200.0,3 step SARSA
196,-200.0,3 step SARSA
197,-200.0,3 step SARSA
198,-200.0,3 step SARSA
199,-200.0,3 step SARSA
200,-200.0,3 step SARSA
201,-200.0,3 step SARSA
202,-200.0,3 step SARSA
203,-200.0,3 step SARSA
204,-200.0,3 step SARSA
205,-200.0,3 step SARSA
206,-200.0,3 step SARSA
207,-200.0,3 step SARSA
208,-200.0,3 step SARSA
209,-200.0,3 step SARSA
210,-200.0,3 step SARSA
211,-200.0,3 step SARSA
212,-200.0,3 step SARSA
213,-200.0,3 step SARSA
214,-200.0,3 step SARSA
215,-200.0,3 step SARSA
216,-200.0,3 step SARSA
217,-200.0,3 step SARSA
218,-200.0,3 step SARSA
219,-200.0,3 step SARSA
220,-200.0,3 step SARSA
221,-200.0,3 step SARSA
222,-200.0,3 step SARSA
223,-200.0,3 step SARSA
224,-200.0,3 step SARSA
225,-200.0,3 step SARSA
226,-200.0,3 step SARSA
227,-200.0,3 step SARSA
228,-200.0,3 step SARSA
229,-200.0,3 step SARSA
230,-200.0,3 step SARSA
231,-200.0,3 step SARSA
232,-200.0,3 step SARSA
233,-200.0,3 step SARSA
234,-200.0,3 step SARSA
235,-200.0,3 step SARSA
236,-200.0,3 step SARSA
237,-200.0,3 step SARSA
238,-200.0,3 step SARSA
239,-200.0,3 step SARSA
240,-200.0,3 step SARSA
241,-200.0,3 step SARSA
242,-199.8,3 step SARSA
243,-199.08,3 step SARSA
244,-199.08,3 step SARSA
245,-198.28,3 step SARSA
246,-197.34,3 step SARSA
247,-196.54,3 step SARSA
